English word,Magic number,Ranking/Fitness
Koari,1,4
Pangya,9401,8
Arisan,64001,4
The,154301,8
Sukatto,1,4
Golf,9401,4
arisan-antenna,64001,1
kooh,102501,1
Rich,1,4
koari,64001,1
lolicon,299901,1
japanese,299801,1
pangya,102501,1
14,286301,1
gymshorts,191001,1
Eat,1,4
Antenna,1,4
doujinshi,299901,1
catgirl,294501,1
Vol,231701,8
sole male,299301,1
shinji ikari,285701,1
Neon,80601,4
30,294101,1
translated,298901,1
schoolboy uniform,295501,1
Suit,38701,4
bodysuit,275501,1
Genesis,285701,4
Manabe,39201,4
big ass,298001,1
facesitting,286301,1
Studio,290001,4
Fetish,101,4
rei ayanami,285701,1
studio katsudon,101,1
english,78301,5
sole female,298201,1
Katsudon,39201,4
Jouji,182101,4
neon genesis evangelion,295001,1
Plug,101,4
Evangelion,295001,4
manabe jouji,195601,1
English,299601,4
38,279701,1
Yukio,201,4
Naruto,263501,4
dickgirl on dickgirl,286501,1
lactation,299701,1
dick growth,298001,1
yuri,298701,1
Giroutei,201,8
tsunade,268201,1
paizuri,298301,1
shizune,201,1
shijima yukio,225601,1
futanari,296801,1
giroutei,201,1
Kan,212201,8
ri,201,4
big areolae,298001,1
no,233201,12
sakura haruno,254801,1
Shijima,225601,4
naruto,152701,5
big breasts,297801,1
inverted nipples,289201,1
Chaos,301,4
Touhou,155301,8
Yuuki,152501,4
Panic,283201,4
Kirisakareru,301,4
the,292301,4
fujiwara no mokou,237901,1
Kaze,301,4
up,10201,4
Aketo,301,4
things,301,4
Mawaru,301,16
Notte,301,4
Project,299101,4
Riding,43901,4
round,301,16
and,301,8
touhou project,298101,1
22,295401,1
ni,280801,8
females only,291901,1
wind,301,4
cutting,301,4
Jikan,281201,4
No,231901,8
Hiraki,401,4
rape,299301,1
rin kokonoe,401,1
Shoutengai,87101,4
full color,299801,1
jiyuugaoka shoutengai,401,1
schoolgirl uniform,298901,1
Naori,401,4
Kodomo,54001,4
DEADRISING,401,4
mimi usa,401,1
Jiyuugaoka,401,4
kodomo no jikan,401,1
hiraki naori,401,1
8,286401,1
Zero,183901,8
unikura,501,1
Unikura,501,4
henrietta de tristain,501,1
PINK,77201,4
unizou,501,1
group,292301,4
16,292201,1
siesta,501,1
netorare,297801,1
unizo,501,1
zero no tsukaima,120701,1
stockings,299901,1
tabitha,501,1
LOVE,35501,8
Tsukaima,501,4
x-ray,298001,1
Unizo,501,4
louise francoise le blanc de la valliere,120701,1
saito hiraga,501,1
small breasts,287501,1
kirche augusta frederica von anhalt zerbst,501,1
POTION,501,4
anal,299201,1
tsukihime,35001,1
maid,121501,4
34,292001,1
Tsutsumi,601,4
hisui,601,1
len,2701,1
Akari,251401,8
tsutsumi akari,10401,1
Mitsugetsu,601,4
Tsukihime,35001,4
.30-06,601,1
suehirogari,29101,1
SUEHIROGARI,701,4
chloroform,263201,1
diaper,297901,1
194,115301,1
tankoubon,299701,1
CAGE,701,4
sex toys,299701,1
manga,19701,5
bondage,299801,1
masturbation,299701,1
exhibitionism,292801,1
26,299901,1
Bardiche,801,4
Lyrical,298401,8
mahou shoujo lyrical nanoha,257501,1
Shoujo,159501,8
SSB,183901,4
ssb,144701,1
ssa,801,1
vita,27001,1
SSA,801,4
reinforce zwei,801,1
Mahou,176001,8
Nanoha,257501,4
Adult,801,4
shoryutei enraku,901,1
futari,901,4
pretty cure,13001,1
24,297101,1
Shoryutei,23001,8
shoryutei,901,1
Precure,134201,4
wa,277501,12
Enraku,23001,4
precure,901,4
hon,901,4
touge hiro,901,1
Futari,238801,4
blowjob,299601,1
King,265901,4
Kacchuu,86201,4
248,27801,1
tsukasa jun,1001,1
true love story,1001,1
final fantasy vii,292601,1
darkstalkers,77201,1
Musume,31201,8
quiz nanairo dreams,1001,1
to heart,196301,1
tifa lockhart,52001,1
final fantasy,105201,1
Various,248601,8
glasses,298801,1
dead or alive,146501,1
Funamushi,1001,4
bestiality,276001,1
pokemon,207301,5
kacchuu musume,86201,1
ultimate girls,1101,1
replaced,293401,1
Rai,8501,4
higashitotsuka raisuta,1101,1
Higashitotsuka,8501,4
double penetration,299701,1
Mizuyokan,1101,4
29,275601,1
Ultimate,1101,4
Girl,244701,8
Suta,8501,4
Haikei,1101,4
UG,1101,4
sama,269101,8
studio mizuyokan,8501,1
JEWEL,1201,4
red spec,1201,1
Quantum,1201,4
spec,1201,4
fate testarossa,230801,1
PETIT,1201,4
Leap,1201,4
zizz,1201,1
